"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Knowledge of languages,      Wakashan languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Haisla,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Heiltsuk,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Kwak'wala (Kwakiutl),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Knowledge of languages,"        Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,"      Indigenous languages, n.i.e.",,15,,0,,10,,0,,0,,0,
Knowledge of languages,"      Indigenous languages, n.o.s.",,15,,0,,0,,0,,0,,0,
Knowledge of languages,    Non-Indigenous languages,,450270,,217035,,233235,,32.2,,31.2,,33.3,
Knowledge of languages,      Afro-Asiatic languages,,57350,,29300,,28055,,4.1,,4.2,,4,
Knowledge of languages,        Berber languages,,235,,125,,115,,0,,0,,0,
Knowledge of languages,          Kabyle,,190,,85,,105,,0,,0,,0,
Knowledge of languages,          Tamazight,,45,,30,,10,,0,,0,,0,
Knowledge of languages,"          Berber languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Chadic languages,,405,,230,,170,,0,,0,,0,
Knowledge of languages,          Hausa,,375,,215,,160,,0,,0,,0,
Knowledge of languages,          Mina,,25,,15,,10,,0,,0,,0,
Knowledge of languages,        Coptic,,55,,35,,20,,0,,0,,0,
Knowledge of languages,        Cushitic languages,,13595,,6660,,6930,,1,,1,,1,
Knowledge of languages,          Bilen,,550,,275,,275,,0,,0,,0,
Knowledge of languages,          Oromo,,2615,,1315,,1300,,0.2,,0.2,,0.2,
Knowledge of languages,          Somali,,10560,,5125,,5435,,0.8,,0.7,,0.8,
Knowledge of languages,"          Cushitic languages, n.i.e.",,90,,40,,50,,0,,0,,0,
Knowledge of languages,        Semitic languages,,45750,,23675,,22075,,3.3,,3.4,,3.1,
Knowledge of languages,          Amharic,,5965,,3110,,2855,,0.4,,0.4,,0.4,
Knowledge of languages,          Arabic,,34755,,18175,,16580,,2.5,,2.6,,2.4,
Knowledge of languages,          Aramaic languages,,200,,100,,100,,0,,0,,0,
Knowledge of languages,            Assyrian Neo-Aramaic,,80,,35,,45,,0,,0,,0,
Knowledge of languages,            Chaldean Neo-Aramaic,,60,,35,,20,,0,,0,,0,
Knowledge of languages,"            Aramaic, n.o.s.",,65,,30,,35,,0,,0,,0,
Knowledge of languages,          Harari,,275,,145,,130,,0,,0,,0,
Knowledge of languages,          Hebrew,,1365,,765,,600,,0.1,,0.1,,0.1,
Knowledge of languages,          Maltese,,20,,0,,15,,0,,0,,0,
Knowledge of languages,          Tigrigna,,6440,,3230,,3205,,0.5,,0.5,,0.5,
Knowledge of languages,"          Semitic languages, n.i.e.",,220,,160,,55,,0,,0,,0,
Knowledge of languages,      Austro-Asiatic languages,,13555,,6305,,7250,,1,,0.9,,1,
Knowledge of languages,        Khmer (Cambodian),,1055,,495,,555,,0.1,,0.1,,0.1,
Knowledge of languages,        Vietnamese,,12490,,5810,,6680,,0.9,,0.8,,1,
Knowledge of languages,"        Austro-Asiatic languages, n.i.e",,80,,40,,35,,0,,0,,0,
Knowledge of languages,      Austronesian languages,,67380,,29640,,37740,,4.8,,4.3,,5.4,
Knowledge of languages,        Bikol,,340,,175,,165,,0,,0,,0,
Knowledge of languages,"        Bisaya, n.o.s.",,1050,,460,,590,,0.1,,0.1,,0.1,
Knowledge of languages,        Cebuano,,3190,,1410,,1780,,0.2,,0.2,,0.3,
Knowledge of languages,        Fijian,,140,,65,,75,,0,,0,,0,
Knowledge of languages,        Hiligaynon,,1510,,635,,885,,0.1,,0.1,,0.1,
Knowledge of languages,        Ilocano,,4765,,1985,,2780,,0.3,,0.3,,0.4,
Knowledge of languages,        Indonesian,,880,,340,,545,,0.1,,0,,0.1,
Knowledge of languages,        Kankanaey,,220,,65,,150,,0,,0,,0,
Knowledge of languages,        Kinaray-a,,65,,25,,35,,0,,0,,0,
Knowledge of languages,        Malagasy languages,,30,,10,,20,,0,,0,,0,
Knowledge of languages,          Merina,,0,,0,,0,,0,,0,,0,
Knowledge of languages,"          Malagasy, n.o.s.",,30,,10,,20,,0,,0,,0,
Knowledge of languages,        Malay,,780,,380,,405,,0.1,,0.1,,0.1,
Knowledge of languages,"        Pampangan (Kapampangan, Pampango)",,980,,460,,520,,0.1,,0.1,,0.1,
Knowledge of languages,        Pangasinan,,495,,195,,295,,0,,0,,0,
Knowledge of languages,"        Tagalog (Pilipino, Filipino)",,63930,,28125,,35805,,4.6,,4,,5.1,
Knowledge of languages,        Waray-Waray,,320,,120,,190,,0,,0,,0,
Knowledge of languages,"        Austronesian languages, n.i.e.",,1765,,810,,955,,0.1,,0.1,,0.1,
Knowledge of languages,      Creole languages,,2610,,1275,,1335,,0.2,,0.2,,0.2,
Knowledge of languages,        Haitian Creole,,725,,380,,345,,0.1,,0.1,,0,
Knowledge of languages,        Jamaican English Creole,,220,,85,,130,,0,,0,,0,
Knowledge of languages,        Krio,,400,,200,,200,,0,,0,,0,
Knowledge of languages,        Morisyen,,355,,180,,175,,0,,0,,0,
Knowledge of languages,        Sango,,30,,20,,0,,0,,0,,0,
Knowledge of languages,"        Creole, n.o.s.",,595,,280,,315,,0,,0,,0,
Knowledge of languages,"        Creole languages, n.i.e.",,455,,215,,245,,0,,0,,0,
Knowledge of languages,      Dravidian languages,,12430,,6295,,6135,,0.9,,0.9,,0.9,
Knowledge of languages,        Kannada,,540,,275,,265,,0,,0,,0,
Knowledge of languages,        Malayalam,,6485,,3285,,3195,,0.5,,0.5,,0.5,
Knowledge of languages,        Tamil,,4870,,2605,,2270,,0.3,,0.4,,0.3,
Knowledge of languages,        Telugu,,2135,,1020,,1115,,0.2,,0.1,,0.2,
Knowledge of languages,        Tulu,,40,,25,,15,,0,,0,,0,
Knowledge of languages,"        Dravidian languages, n.i.e.",,30,,20,,15,,0,,0,,0,
Knowledge of languages,      Georgian,,90,,50,,40,,0,,0,,0,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Indo-European languages,,219175,,107955,,111225,,15.7,,15.5,,15.9,
Knowledge of languages,        Albanian,,990,,545,,445,,0.1,,0.1,,0.1,
Knowledge of languages,        Armenian,,220,,105,,120,,0,,0,,0,
Knowledge of languages,        Balto-Slavic languages,,37380,,17475,,19905,,2.7,,2.5,,2.8,
Knowledge of languages,        Baltic languages,,305,,120,,190,,0,,0,,0,
Knowledge of languages,            Latvian,,115,,30,,75,,0,,0,,0,
Knowledge of languages,            Lithuanian,,195,,80,,115,,0,,0,,0,
Knowledge of languages,          Slavic languages,,37220,,17405,,19815,,2.7,,2.5,,2.8,
Knowledge of languages,            Belarusian,,175,,80,,95,,0,,0,,0,
Knowledge of languages,            Bulgarian,,585,,290,,300,,0,,0,,0,
Knowledge of languages,            Czech,,1035,,510,,525,,0.1,,0.1,,0.1,
Knowledge of languages,            Macedonian,,275,,130,,150,,0,,0,,0,
Knowledge of languages,            Polish,,10715,,5140,,5570,,0.8,,0.7,,0.8,
Knowledge of languages,            Russian,,10420,,4855,,5570,,0.7,,0.7,,0.8,
Knowledge of languages,            Rusyn,,35,,25,,10,,0,,0,,0,
Knowledge of languages,            Serbo-Croatian,,5845,,2925,,2915,,0.4,,0.4,,0.4,
Knowledge of languages,              Bosnian,,1360,,670,,690,,0.1,,0.1,,0.1,
Knowledge of languages,              Croatian,,2980,,1530,,1450,,0.2,,0.2,,0.2,
Knowledge of languages,              Serbian,,2735,,1350,,1385,,0.2,,0.2,,0.2,
Knowledge of languages,"              Serbo-Croatian, n.i.e.",,125,,60,,65,,0,,0,,0,
Knowledge of languages,            Slovak,,715,,305,,405,,0.1,,0,,0.1,
Knowledge of languages,            Slovene (Slovenian),,305,,145,,160,,0,,0,,0,
Knowledge of languages,            Ukrainian,,12680,,5600,,7080,,0.9,,0.8,,1,
Knowledge of languages,"            Slavic languages, n.i.e.",,30,,10,,20,,0,,0,,0,
Knowledge of languages,        Celtic languages,,385,,165,,220,,0,,0,,0,
Knowledge of languages,          Irish,,200,,90,,115,,0,,0,,0,
Knowledge of languages,          Scottish Gaelic,,70,,30,,40,,0,,0,,0,
Knowledge of languages,          Welsh,,70,,35,,40,,0,,0,,0,
Knowledge of languages,"          Celtic languages, n.i.e.",,40,,10,,30,,0,,0,,0,
Knowledge of languages,        Germanic languages,,25930,,12455,,13475,,1.9,,1.8,,1.9,
Knowledge of languages,          Frisian,,95,,40,,55,,0,,0,,0,
Knowledge of languages,          High German languages,,18855,,9155,,9705,,1.3,,1.3,,1.4,
Knowledge of languages,            German,,18690,,9060,,9625,,1.3,,1.3,,1.4,
Knowledge of languages,            Pennsylvania German,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Swiss German,,245,,115,,130,,0,,0,,0,
Knowledge of languages,            Yiddish,,70,,50,,20,,0,,0,,0,
Knowledge of languages,          Low Saxon-Low Franconian languages,,6155,,2920,,3235,,0.4,,0.4,,0.5,
Knowledge of languages,            Afrikaans,,1355,,700,,655,,0.1,,0.1,,0.1,
Knowledge of languages,            Dutch,,4380,,2035,,2340,,0.3,,0.3,,0.3,
Knowledge of languages,"            Low German, n.o.s.",,80,,30,,45,,0,,0,,0,
Knowledge of languages,            Low Saxon,,20,,0,,15,,0,,0,,0,
Knowledge of languages,            Plautdietsch,,350,,175,,175,,0,,0,,0,
Knowledge of languages,            Vlaams (Flemish),,80,,40,,40,,0,,0,,0,
Knowledge of languages,          Scandinavian languages,,1490,,750,,740,,0.1,,0.1,,0.1,
Knowledge of languages,            Danish,,645,,320,,325,,0,,0,,0,
Knowledge of languages,            Icelandic,,65,,25,,35,,0,,0,,0,
Knowledge of languages,            Norwegian,,355,,205,,150,,0,,0,,0,
Knowledge of languages,            Swedish,,495,,235,,260,,0,,0,,0,
Knowledge of languages,"          Germanic languages, n.i.e.",,15,,10,,0,,0,,0,,0,
Knowledge of languages,        Greek,,1545,,800,,745,,0.1,,0.1,,0.1,
Knowledge of languages,        Indo-Iranian languages,,106875,,54465,,52415,,7.6,,7.8,,7.5,
Knowledge of languages,          Indo-Aryan languages,,99465,,50640,,48825,,7.1,,7.3,,7,
Knowledge of languages,            Assamese,,110,,60,,50,,0,,0,,0,
Knowledge of languages,            Bengali,,3865,,1980,,1885,,0.3,,0.3,,0.3,
Knowledge of languages,            Gujarati,,10620,,5375,,5245,,0.8,,0.8,,0.7,
Knowledge of languages,            Hindi,,41900,,21430,,20470,,3,,3.1,,2.9,
Knowledge of languages,            Kacchi,,1110,,505,,610,,0.1,,0.1,,0.1,
Knowledge of languages,            Kashmiri,,110,,50,,60,,0,,0,,0,
Knowledge of languages,            Konkani,,315,,185,,135,,0,,0,,0,
Knowledge of languages,            Marathi,,1470,,735,,730,,0.1,,0.1,,0.1,
Knowledge of languages,            Nepali,,2505,,1305,,1200,,0.2,,0.2,,0.2,
Knowledge of languages,            Oriya languages,,100,,55,,50,,0,,0,,0,
Knowledge of languages,              Odia,,25,,15,,10,,0,,0,,0,
Knowledge of languages,"              Oriya, n.o.s.",,75,,35,,35,,0,,0,,0,
Knowledge of languages,            Punjabi (Panjabi),,53280,,27310,,25965,,3.8,,3.9,,3.7,
Knowledge of languages,            Rohingya,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Sindhi,,595,,315,,280,,0,,0,,0,
Knowledge of languages,            Sinhala (Sinhalese),,2105,,1030,,1080,,0.2,,0.1,,0.2,
Knowledge of languages,            Urdu,,16575,,8410,,8160,,1.2,,1.2,,1.2,
Knowledge of languages,"            Indo-Aryan languages, n.i.e.",,625,,340,,285,,0,,0,,0,
Knowledge of languages,          Iranian languages,,8500,,4370,,4130,,0.6,,0.6,,0.6,
Knowledge of languages,            Baluchi,,25,,20,,0,,0,,0,,0,
Knowledge of languages,            Kurdish,,910,,515,,395,,0.1,,0.1,,0.1,
Knowledge of languages,            Parsi,,10,,10,,0,,0,,0,,0,
Knowledge of languages,            Pashto,,1155,,605,,550,,0.1,,0.1,,0.1,
Knowledge of languages,            Persian languages,,6665,,3405,,3265,,0.5,,0.5,,0.5,
Knowledge of languages,              Dari,,2220,,1110,,1110,,0.2,,0.2,,0.2,
Knowledge of languages,              Iranian Persian,,3740,,1925,,1810,,0.3,,0.3,,0.3,
Knowledge of languages,"              Persian (Farsi), n.o.s.",,785,,410,,375,,0.1,,0.1,,0.1,
Knowledge of languages,"            Iranian languages, n.i.e.",,40,,20,,15,,0,,0,,0,
Knowledge of languages,"          Indo-Iranian languages, n.i.e.",,120,,85,,40,,0,,0,,0,
Knowledge of languages,        Italic (Romance) languages,,51685,,24850,,26835,,3.7,,3.6,,3.8,
Knowledge of languages,          Catalan,,35,,20,,10,,0,,0,,0,
Knowledge of languages,          Italian,,8090,,3925,,4170,,0.6,,0.6,,0.6,
Knowledge of languages,          Portuguese,,6505,,3260,,3240,,0.5,,0.5,,0.5,
Knowledge of languages,          Romanian,,2955,,1480,,1475,,0.2,,0.2,,0.2,
Knowledge of languages,          Spanish,,36115,,17195,,18920,,2.6,,2.5,,2.7,
Knowledge of languages,"          Italic (Romance) languages, n.i.e.",,190,,100,,95,,0,,0,,0,
Knowledge of languages,"        Indo-European languages, n.i.e.",,105,,50,,50,,0,,0,,0,
Knowledge of languages,      Japanese,,3320,,1460,,1855,,0.2,,0.2,,0.3,
Knowledge of languages,      Korean,,8020,,3655,,4365,,0.6,,0.5,,0.6,
Knowledge of languages,      Mongolian,,130,,60,,80,,0,,0,,0,
Knowledge of languages,      Niger-Congo languages,,18310,,9180,,9130,,1.3,,1.3,,1.3,
Knowledge of languages,        Akan (Twi),,1665,,800,,865,,0.1,,0.1,,0.1,
Knowledge of languages,        Bamanankan,,80,,50,,30,,0,,0,,0,
Knowledge of languages,        Edo,,340,,180,,155,,0,,0,,0,
Knowledge of languages,        …wÈ,,280,,150,,130,,0,,0,,0,
Knowledge of languages,"        Fulah (Pular, Pulaar, Fulfulde)",,255,,135,,120,,0,,0,,0,
Knowledge of languages,        Ga,,195,,100,,90,,0,,0,,0,
Knowledge of languages,        Ganda,,550,,250,,305,,0,,0,,0,
Knowledge of languages,        Gikuyu,,170,,85,,85,,0,,0,,0,
Knowledge of languages,        Igbo,,1290,,600,,690,,0.1,,0.1,,0.1,
Knowledge of languages,        Kinyarwanda (Rwanda),,1520,,810,,710,,0.1,,0.1,,0.1,
Knowledge of languages,        Lingala,,925,,480,,445,,0.1,,0.1,,0.1,
Knowledge of languages,        Luba-Kasai,,110,,55,,55,,0,,0,,0,
Knowledge of languages,        MÚorÈ,,40,,10,,30,,0,,0,,0,
Knowledge of languages,        Mwani,,30,,15,,15,,0,,0,,0,
Knowledge of languages,        Ndebele,,575,,265,,305,,0,,0,,0,
Knowledge of languages,        Rundi (Kirundi),,1060,,550,,515,,0.1,,0.1,,0.1,
Knowledge of languages,        Shona,,1105,,485,,615,,0.1,,0.1,,0.1,
Knowledge of languages,        Soninke,,50,,35,,15,,0,,0,,0,
Knowledge of languages,        Sotho-Tswana languages,,120,,45,,75,,0,,0,,0,
Knowledge of languages,        Swahili,,5025,,2715,,2310,,0.4,,0.4,,0.3,
Knowledge of languages,        Wojenaka,,95,,55,,45,,0,,0,,0,
Knowledge of languages,        Wolof,,455,,235,,220,,0,,0,,0,
Knowledge of languages,        Yoruba,,3230,,1670,,1565,,0.2,,0.2,,0.2,
Knowledge of languages,"        Niger-Congo languages, n.i.e.",,2930,,1410,,1525,,0.2,,0.2,,0.2,
Knowledge of languages,      Nilo-Saharan languages,,1200,,645,,555,,0.1,,0.1,,0.1,
Knowledge of languages,        Dinka,,465,,245,,220,,0,,0,,0,
Knowledge of languages,        Nuer,,275,,135,,145,,0,,0,,0,
Knowledge of languages,"        Nilo-Saharan languages, n.i.e.",,455,,260,,190,,0,,0,,0,
Knowledge of languages,"        African, n.o.s.",,180,,105,,75,,0,,0,,0,
Knowledge of languages,      Sign languages,,2665,,1045,,1620,,0.2,,0.2,,0.2,
Knowledge of languages,        American Sign Language,,2365,,900,,1460,,0.2,,0.1,,0.2,
Knowledge of languages,        Quebec Sign Language,,15,,0,,10,,0,,0,,0,
Knowledge of languages,"        Sign languages, n.i.e.",,355,,150,,200,,0,,0,,0,
Knowledge of languages,      Sino-Tibetan languages,,55830,,26415,,29415,,4,,3.8,,4.2,
Knowledge of languages,        Chinese languages,,54770,,25910,,28860,,3.9,,3.7,,4.1,
Knowledge of languages,          Hakka,,980,,425,,560,,0.1,,0.1,,0.1,
Knowledge of languages,          Mandarin,,32395,,15090,,17300,,2.3,,2.2,,2.5,
Knowledge of languages,          Min Dong,,20,,0,,20,,0,,0,,0,
Knowledge of languages,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,1680,,710,,975,,0.1,,0.1,,0.1,
Knowledge of languages,          Wu (Shanghainese),,255,,125,,130,,0,,0,,0,
Knowledge of languages,          Yue (Cantonese),,29295,,13840,,15460,,2.1,,2,,2.2,
Knowledge of languages,"          Chinese, n.o.s.",,690,,310,,380,,0,,0,,0.1,
Knowledge of languages,"          Chinese languages, n.i.e.",,50,,25,,30,,0,,0,,0,
Knowledge of languages,        Tibeto-Burman languages,,995,,485,,510,,0.1,,0.1,,0.1,
Knowledge of languages,          Burmese,,330,,155,,175,,0,,0,,0,
Knowledge of languages,          Kuki-Chin languages,,35,,20,,20,,0,,0,,0,
Knowledge of languages,          Karenic languages,,605,,305,,305,,0,,0,,0,
Knowledge of languages,            S'gaw Karen,,555,,270,,280,,0,,0,,0,
Knowledge of languages,"            Karenic languages, n.i.e.",,80,,50,,30,,0,,0,,0,
Knowledge of languages,          Tibetan,,25,,20,,0,,0,,0,,0,
Knowledge of languages,"          Tibeto-Burman languages, n.i.e.",,135,,55,,85,,0,,0,,0,
Knowledge of languages,"        Sino-Tibetan languages, n.i.e.",,100,,20,,75,,0,,0,,0,
Knowledge of languages,      Tai-Kadai languages,,1545,,670,,875,,0.1,,0.1,,0.1,
Knowledge of languages,        Lao,,625,,300,,325,,0,,0,,0,
